k99_824604	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_3641770	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_1329863	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_964937	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_795151	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_4629361	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_3436767	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_1631185	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_1070037	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_420134	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_4368030	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_268130	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_2263527	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_1129424	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_2163019	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_505416	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_4434302	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_2582650	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_2792752	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_225952	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_2405699	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_1707019	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_1309556	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_2173985	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_650812	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_1254141	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_3804652	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_824994	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_4436405	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_3881648	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_619935	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_1626353	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_2562796	metabat_binned/final.contigs.fa.metabat_bins_100.fa
k99_3128062	metabat_binned/final.contigs.fa.metabat_bins_100.fa
